Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,0,0.0,0.0
Query 2,1,10.0,0.0
Query 3,1,10.0,0.0
Query 4,3,30.0,-23.5
Query 5,1,10.0,0.0
Query 6,2,20.0,-44.0
Query 7,2,20.0,-24.0
Query 8,0,0.0,0.0
Query 9,2,20.0,-9.0
Query 10,0,0.0,0.0
Query 11,1,10.0,0.0
Query 12,1,10.0,0.0
Query 13,0,0.0,0.0
Query 14,0,0.0,0.0
Query 15,1,10.0,0.0
Query 16,2,20.0,-25.0
Query 17,2,20.0,-8.0
Query 18,2,20.0,-39.0
Query 19,1,10.0,0.0
Query 20,0,0.0,0.0
Query 21,2,20.0,-4.0
Query 22,1,10.0,0.0
Query 23,0,0.0,0.0
Query 24,2,20.0,-19.0
Query 25,1,10.0,1.0
Query 26,0,0.0,0.0
Query 27,1,10.0,0.0
Query 28,1,10.0,0.0
Query 29,2,20.0,-67.0
Query 30,0,0.0,0.0
Query 31,0,0.0,0.0
Query 32,0,0.0,0.0
Query 33,0,0.0,0.0
Query 34,2,20.0,0.0
Query 35,1,10.0,0.0
Query 36,0,0.0,0.0
Query 37,0,0.0,0.0
Query 38,1,10.0,1.0
Query 39,2,20.0,-73.0
Query 40,3,30.0,-6.5
Query 41,4,40.0,-8.0
Query 42,4,40.0,-1.5
Query 43,0,0.0,0.0
Query 44,3,30.0,-17.5
Query 45,0,0.0,0.0
Query 46,5,50.0,-0.9
Query 47,2,20.0,-63.0
Query 48,4,40.0,-3.9
Query 49,2,20.0,-24.0
Query 50,1,10.0,0.0
Query 51,2,20.0,-9.0
Query 52,5,50.0,-2.95
Query 53,1,10.0,0.0
Query 54,0,0.0,0.0
Query 55,1,10.0,0.0
Query 56,2,20.0,-49.0
Query 57,1,10.0,0.0
Query 58,2,20.0,-33.0
Query 59,2,20.0,-49.0
Query 60,0,0.0,0.0
Query 61,1,10.0,0.0
Query 62,1,10.0,0.0
Query 63,2,20.0,-7.0
Query 64,4,40.0,-6.5
Query 65,0,0.0,0.0
Query 66,1,10.0,1.0
Query 67,2,20.0,0.0
Query 68,1,10.0,1.0
Query 69,0,0.0,0.0
Query 70,3,30.0,-9.25
Query 71,0,0.0,0.0
Query 72,0,0.0,0.0
Query 73,1,10.0,0.0
Query 74,1,10.0,0.0
Query 75,3,30.0,-3.25
Query 76,1,10.0,0.0
Query 77,1,10.0,1.0
Query 78,0,0.0,0.0
Query 79,1,10.0,0.0
Query 80,2,20.0,-39.0
Query 81,2,20.0,-9.0
Query 82,1,10.0,0.0
Query 83,1,10.0,1.0
Query 84,1,10.0,0.0
Query 85,0,0.0,0.0
Query 86,2,20.0,-67.0
Query 87,1,10.0,0.0
Query 88,2,20.0,-24.0
Query 89,1,10.0,0.0
Query 90,2,20.0,-8.0
Query 91,0,0.0,0.0
Query 92,0,0.0,0.0
Query 93,0,0.0,0.0
Query 94,3,30.0,-6.5
Query 95,1,10.0,0.0
Query 96,2,20.0,-8.0
Query 97,0,0.0,0.0
Query 98,1,10.0,1.0
Query 99,2,20.0,-99.0
Query 100,1,10.0,0.0
Averages,1.3,13.0,-8.83
